Native Threads,127,0,0,0,0,127,500,2000,10,10
Sequential,577,222,47,162,22,106,500,2000,10,1
Native Threads,545,187,32,167,32,107,500,2000,10,1
Native Threads,745,196,32,173,35,290,500,2000,10,1
Native Threads,544,193,25,170,27,107,500,2000,10,1
Native Threads,559,191,32,179,28,108,500,2000,10,1
Native Threads,6958,214,6246,166,33,274,500,2000,10,1
Native Threads,925,151,438,126,36,135,500,2000,10,2
Native Threads,125,24,46,24,7,4,8,2000,10,32
Native Threads,143,36,45,33,6,2,8,2000,10,32
Native Threads,146,26,56,29,5,7,8,2000,10,32
Native Threads,119,9,44,34,5,7,8,2000,10,1
Native Threads,117599,86333,1295,19929,1932,8040,2000,32000,10,1
FastFlow,42330,31881,1018,4377,1799,3175,2000,32000,10,4
FastFlow,15615,9684,737,1711,1774,1643,2000,32000,10,16
Native Threads,98235,69073,1172,18134,1705,8094,2000,32000,10,1
Native Threads,12770,7699,831,1873,1671,629,2000,32000,10,16
Native Threads,31573,15192,791,12470,1555,1504,2000,32000,10,1
Native Threads,2,0,0,0,0,0,5,5,10,1
Native Threads,1,0,0,0,0,0,5,5,10,1
Native Threads,1774,49,3,1669,6,27,500,500,10,1
Native Threads,1130,27,2,1050,7,21,500,500,10,2
Native Threads,492,15,0,421,1,30,500,500,10,4
Native Threads,306,17,2,238,2,25,500,500,10,8
Native Threads,303,14,0,247,4,15,500,500,10,16
Native Threads,16780,341,65,15992,81,275,500,5000,10,1
Native Threads,16906,344,61,16097,89,289,500,5000,10,1
Native Threads,4757,91,64,4286,73,219,500,5000,10,4
Native Threads,2786,65,67,2271,87,271,500,5000,10,8
Native Threads,2334,60,74,1854,99,220,500,5000,10,10
Native Threads,2601,79,69,2101,97,226,500,5000,10,10
Native Threads,1994,76,51,1529,77,231,500,5000,10,16
Native Threads,383,81,54,111,89,20,500,5000,10,32
Native Threads,1770,304,57,1234,89,61,500,5000,10,1
Native Threads,1772,352,58,1195,85,59,500,5000,10,1
Native Threads,1192,268,78,663,113,43,500,5000,10,2
Native Threads,16591,338,60,15821,78,267,500,5000,10,1
Native Threads,16790,334,48,16013,92,280,500,5000,10,1
Native Threads,8612,183,63,7953,68,323,500,5000,10,2
Native Threads,4789,108,68,4246,77,263,500,5000,10,4
Native Threads,423,70,41,194,80,13,500,5000,10,8
Native Threads,1817,309,49,1285,89,60,500,5000,10,1
Native Threads,418,82,47,163,83,17,500,5000,10,4
Native Threads,571,56,69,319,87,17,500,5000,10,8
Native Threads,3650,278,20,3033,228,70,5000,2000,10,8
Native Threads,17898,1780,20,15568,279,229,5000,2000,10,1
Native Threads,2807,132,24,2341,241,43,5000,2000,10,32
Native Threads,2652,161,25,2153,233,58,5000,2000,10,32
Native Threads,5802,920,238,2491,1581,506,5000,20000,10,32
Native Threads,47995,15192,195,28920,1317,2314,5000,20000,10,1
Native Threads,8840,1291,202,5345,1572,361,5000,20000,10,16
Native Threads,120011,117745,139,35,79,1977,50000,20000,10,16
Native Threads,48149,15184,194,29097,1340,2274,5000,20000,10,1
